Site,Latitude,Longitude,Temperature,Pressure,CO2 flux [ppm],Soil Temperature [°],Comment,Instrument,Date,flux[g/m2/d],data quality
WS1204NK15,50.21605,12.43352,n.a.,51.0,1.700,none,none,WS120,16-04-2024 11:04:4,1.24,copied from value
WS1204NK16,50.21600,12.43373,n.a.,51.0,1.880,none,none,WS120,16-04-2024 11:10:2,1.30,copied from value
WS1204NK17,50.21618,12.43412,n.a.,51.0,0.609,none,none,WS120,16-04-2024 11:13:5,0.43,copied from value
NKW5,50.21617,12.43441,12.36,948.71,0.288,none,none,WS220,16-04-2024 11:17:1,3.84,true value
WS1204NK18,50.21621,12.43443,n.a.,51.0,0.777,none,none,WS120,16-04-2024 11:20:1,0.55,copied from value
WS1204NK19,50.21637,12.43512,6,51.0,0.292,none,bare ground,WS120,16-04-2024 11:25:1,0.21,true value
NKW6,50.21584,12.43583,12.35,949.02,0.718,none,fw,WS220,16-04-2024 11:25:4,9.58,true value
WS1204NK20,50.21589,12.43617,n.a.,51.0,0.790,none,none,WS120,16-04-2024 11:29:3,0.58,copied from value
NKW7,50.21587,12.43650,13.10,949.22,0.468,none,fw,WS220,16-04-2024 11:31:1,6.23,true value
WS1204NK21,50.21589,12.43678,n.a.,51.0,1.060,none,none,WS120,16-04-2024 11:32:1,0.74,copied from value
WS1204NK22,50.21594,12.43709,n.a.,51.0,0.765,none,wiese,WS120,16-04-2024 11:35:0,0.56,copied from value
WS1204NK22,50.21591,12.43744,7,980,0.432,none,none,WS120,16-04-2024 11:44:1,6.07,true value
NKW8,50.21587,12.43784,11.70,949.12,0.453,none,fw,WS220,16-04-2024 11:54:4,6.06,true value
NKW9,50.21567,12.43873,12.75,949.34,0.935,none,fw,WS220,16-04-2024 11:58:5,12.46,true value
WS1204NK22,50.21577,12.43858,7,960,0.263,none,neue wiese,WS120,16-04-2024 11:59:1,3.62,true value
NKW10,50.21546,12.43930,13.23,949.48,0.467,none,fw,WS220,16-04-2024 12:02:2,6.21,true value
WS1204NK23,50.21559,12.43901,7,960,1.270,none,none,WS120,16-04-2024 12:03:1,17.47,true value
WS1204NK24,50.21538,12.43970,7,960,1.310,none,SENSORS#:	6,WS120,16-04-2024 12:06:1,18.02,true value
NKW11,50.21532,12.44007,13.82,949.62,0.762,none,fw,WS220,16-04-2024 12:06:2,10.12,true value
WS1204NK25,50.21530,12.44040,7,960,1.460,none,none,WS120,16-04-2024 12:09:3,20.08,true value
NKW12,50.21530,12.44073,14.58,949.88,1.190,none,fw,WS220,16-04-2024 12:09:5,15.77,true value
WS1204NK26,50.21533,12.44103,7,960,0.710,none,none,WS120,16-04-2024 12:12:4,9.77,true value
NKW13,50.21544,12.44134,15.31,950.10,0.819,none,fw,WS220,16-04-2024 12:13:5,10.83,true value
WS1204NK27,50.21546,12.44161,7,960,1.090,none,direct am bach,WS120,16-04-2024 12:17:5,14.99,true value
WS1204NK28,50.21545,12.44207,7,960,0.782,none,none,WS120,16-04-2024 12:22:4,10.76,true value
WS1204NK28,50.21566,12.44206,n.a.,51.0,1.130,none,none,WS120,16-04-2024 12:25:4,0.79,copied from value
WS1204NK29,50.21575,12.44305,7,960,0.905,none,none,WS120,16-04-2024 12:29:5,12.45,true value
WS1204NK30,50.21573,12.44345,7,960,1.100,none,none,WS120,16-04-2024 12:32:2,15.13,true value
WS1204NK31,50.21561,12.44381,7,960,1.280,none,none,WS120,16-04-2024 12:35:1,17.61,true value
NKW14,50.21483,12.44472,14.20,948.41,1.340,none,fw,WS220,16-04-2024 12:42:3,17.75,true value
NKW15,50.21570,12.44942,19.45,947.01,1.050,none,fw,WS220,16-04-2024 13:02:0,13.64,true value
NKW16,50.21526,12.44982,21.52,946.56,1.280,none,fw,WS220,16-04-2024 13:05:1,16.50,true value
NKW17,50.21519,12.45044,23.18,946.15,1.060,none,fw,WS220,16-04-2024 13:08:0,13.59,true value
NKW18,50.21517,12.45082,23.25,946.03,0.893,none,fw,WS220,16-04-2024 13:10:4,11.44,true value
NKW19,50.21513,12.45145,22.44,945.31,0.938,none,fw,WS220,16-04-2024 13:15:0,12.04,true value
NKW20,50.21507,12.45216,20.71,945.24,1.010,none,fw,WS220,16-04-2024 13:20:3,13.04,true value
NKW21,50.21498,12.45316,19.68,944.67,1.020,none,fw,WS220,16-04-2024 13:27:2,13.21,true value
NKW22,50.21494,12.45348,20.66,944.39,0.643,none,fw,WS220,16-04-2024 13:33:4,8.30,true value
NKW23,50.21488,12.45429,20.65,944.07,0.556,none,fw,WS220,16-04-2024 13:36:5,7.17,true value
NKW24,50.21497,12.45410,19.76,944.03,0.924,none,fw,WS220,16-04-2024 13:41:4,11.95,true value
NKW24,50.21483,12.45450,19.66,943.98,0.319,none,none,WS220,16-04-2024 13:44:2,4.13,true value
WS1204NK45,50.21476,12.45408,7,960,0.972,none,none,WS120,16-04-2024 13:45:5,13.37,true value
NKW26,50.21480,12.45481,20.76,943.67,0.616,none,fw,WS220,16-04-2024 13:49:4,7.94,true value
WS1204NK46,50.21473,12.45523,7,960,0.734,none,none,WS120,16-04-2024 13:51:0,10.10,true value
NKW27,50.21480,12.45595,21.19,943.23,0.503,none,fw,WS220,16-04-2024 13:55:0,6.47,true value
WS1204NK47,50.21478,12.45560,7,960,0.932,none,none,WS120,16-04-2024 13:55:3,12.82,true value
NKW28,50.21473,12.45695,20.76,942.93,0.545,none,fw,WS220,16-04-2024 13:58:0,7.02,true value
WS1204NK48,50.21473,12.45665,7,960,2.260,none,none,WS120,16-04-2024 13:59:0,31.09,true value
WS1204NK49,50.21469,12.45730,7,960,0.812,none,wind and rain are coming ,WS120,16-04-2024 14:04:2,11.17,true value
HTtest1,50.13295,12.46378,14.91,957.84,1.430,none,fw,WS220,17-04-2024 10:43:3,19.09,true value
Nickschieckw1,50.13422,12.46782,19.40,956.22,1.730,none,hohes feuchtes Gras,WS220,17-04-2024 11:34:3,22.70,true value
Nickschieckw2,50.13456,12.46821,20.90,956.01,1.300,none,fw,WS220,17-04-2024 11:38:1,16.97,true value
